
Succeptible;Infectious;Recovered;
99.966000;0.034000;0.000000;
99.942000;0.058000;0.000000;
99.900000;0.100000;0.000000;
99.806000;0.194000;0.000000;
99.683000;0.283000;0.034000;
99.456000;0.486000;0.058000;
99.092000;0.808000;0.100000;
98.520000;1.286000;0.194000;
97.585000;2.098000;0.317000;
96.186000;3.270000;0.544000;
94.026000;5.066000;0.908000;
90.799000;7.721000;1.480000;
86.340000;11.245000;2.415000;
80.006000;16.180000;3.814000;
71.954000;22.072000;5.974000;
62.494000;28.305000;9.201000;
52.484000;33.856000;13.660000;
43.013000;36.993000;19.994000;
34.986000;36.968000;28.046000;
28.911000;33.583000;37.506000;
24.343000;28.141000;47.516000;
21.286000;21.727000;56.987000;
19.290000;15.696000;65.014000;
18.009000;10.902000;71.089000;
17.240000;7.103000;75.657000;
16.763000;4.523000;78.714000;
16.446000;2.844000;80.710000;
16.258000;1.751000;81.991000;
16.137000;1.103000;82.760000;
16.046000;0.717000;83.237000;
15.998000;0.448000;83.554000;
15.968000;0.290000;83.742000;
15.950000;0.187000;83.863000;
15.936000;0.110000;83.954000;
15.926000;0.072000;84.002000;
15.920000;0.048000;84.032000;
15.917000;0.033000;84.050000;
15.915000;0.021000;84.064000;
15.914000;0.012000;84.074000;
15.913000;0.007000;84.080000;
15.913000;0.004000;84.083000;
15.913000;0.002000;84.085000;
15.913000;0.001000;84.086000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
15.913000;0.000000;84.087000;
